id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
111,Olle Ahlund,8,22,1920,,,Midfielder,,
112,Rahman Ahmadi,7,30,1980,6,0,Goalkeeper,,
113,Berman Ahmet,4,24,2016,,,Defender,,
114,Jung Hwan Ahn,1,27,1976,5,9,Forward,Midfielder,
115,Stephen Ahorlu,9,5,1988,5,10,Goalkeeper,,
116,Sergio Ahumada,10,2,1948,,,Forward,,
117,Ernst Aigner,10,31,1966,,,Defender,,
118,Pablo Aimar,11,3,1979,5,6,Midfielder,,
119,John Aird,2,18,1926,,,Defender,,
120,Roy Aitken,11,24,1958,,,Midfielder,,
121,Yakubu Aiyegbeni,11,22,1982,6,2,Forward,,
122,Dele Aiyenugba,11,20,1983,6,1,Goalkeeper,,
123,Kanga Akale,3,7,1981,5,10,Midfielder,,
124,Kacmaz Akgun,4,24,2016,,,Defender,,
125,Mohamed Akid,7,5,1949,,,Forward,,
126,Igor Akinfeev,4,8,1986,6,1,Goalkeeper,,
127,Yutaka Akita,8,6,1970,5,10,Defender,,
128,Eric Akoto,7,20,1980,6,3,Defender,,
129,Jean-Daniel Akpa-Akpro,10,11,1992,5,10,Defender,,
130,Akwa,5,30,1977,5,10,Forward,,
131,Benedict Akwuegbu,11,3,1974,6,2,Forward,,
132,Fatih Akyel,12,26,1977,5,10,Defender,,
133,Abdulaziz Al Anbari,1,3,1954,,,Forward,,
134,Tisir Al Antaif,2,16,1974,6,0,Goalkeeper,,
135,Awwad Al Anzi,9,24,1968,,,Midfielder,,
136,Ahmed Al Bahri,9,18,1980,5,10,Defender,,
137,Abdulaziz Al Balushi,2,16,1960,,,Midfielder,,
138,Fahad Al Bishi,9,10,1965,,,Midfielder,,
139,Mohamed Al Bishi,5,3,1987,6,0,Defender,,
140,Faisal Al Dakhil,8,13,1957,,,Forward,,
141,Saleh Al Dawood,9,24,1968,,,Defender,,
142,Mohammed Al Deayea,8,2,1972,6,2,Goalkeeper,,
143,Abdullah Al Dosari,11,1,1969,,,Defender,,
144,Abdullah Gaman Al Dosari,11,10,1977,6,0,Forward,,
145,Ahmed Al Dosari,10,25,1976,5,8,Defender,,
146,Obeid Al Dosari,10,2,1975,5,8,Forward,,
147,Khamis Al Dossari,9,8,1973,5,10,Midfielder,,
148,Hassan Al Far,1,1,1913,,,Midfielder,,
149,Omar Al Ghamdi,4,11,1979,5,6,Midfielder,,
150,Nasser Al Ghanem,4,4,1961,,,Midfielder,,
151,Fahad Al Ghesheyan,8,1,1973,,,Forward,,
152,Abdulrahman Al Haddad,9,23,1966,,,Defender,,
153,Mouayad Al Haddad,1,1,1960,,,Forward,,
154,Ibrahim Al Harbi,7,10,1975,,,Midfielder,,
155,Saad Al Harthi,2,3,1984,5,10,Forward,,
156,Sami Al Hashash,9,15,1959,,,Defender,,
157,Malek Al Hawsawi,8,10,1981,5,10,Forward,,
158,Ibrahim Al Helwa,8,18,1972,,,Goalkeeper,,
159,Saad Al Hutti,5,24,1954,,,Midfielder,,
160,Sami Al Jaber,12,11,1972,5,9,Forward,,
161,Mohammed Al Jahani,9,28,1974,5,9,Defender,,
162,Abdulaziz Al Janoubi,7,21,1974,5,9,Defender,,
163,Yasser Al Kahtani,10,10,1982,5,5,Forward,,
164,Mohammed Al Khlaiwi,8,21,1971,,,Defender,,
165,Fahad Al Mehalel,11,11,1970,,,Forward,,
166,Hamad Al Montashari,6,22,1982,5,11,Defender,,
167,Walid Al Mubarak,11,18,1959,,,Defender,,
168,Khaled Al Muwallid,11,23,1971,,,Midfielder,,
169,Said Al Owayran,8,19,1967,,,Forward,,
170,Jamal Al Qabandi,4,7,1959,,,Defender,,
171,Naif Al Qadi,4,3,1979,5,9,Defender,,
172,Al Roubai Ghanim,8,16,1961,,,Defender,,
173,Hussein Al Sadeq,10,15,1973,5,11,Goalkeeper,,
174,Abdullah Alwaked Al Shahrani,9,29,1975,5,10,Midfielder,,
175,Ibrahim Al Shahrani,7,21,1974,5,7,Midfielder,,
176,Mohammad Al Shalhoub,12,8,1980,5,4,Midfielder,,
177,Fouzi Al Shehri,5,15,1980,5,8,Defender,,
