id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
1576,Jose Cruz,6,12,1949,,,Defender,,
1577,Juan Cruz,2,27,1959,,,Midfielder,,
1578,Julio Cruz,10,10,1974,6,2,Forward,,
1579,Luis Cruz,4,28,1925,,,Midfielder,,
1580,Osvaldo Cruz,5,29,1931,,,Forward,,
1581,Luis Cruzado,7,6,1941,,,Midfielder,,
1582,Karoly Csapo,2,23,1952,,,Midfielder,,
1583,Laszlo Cseh,1,1,1910,,,Forward,,
1584,Ferenc Csongradi,3,29,1956,,,Midfielder,,
1585,Lajos Csordas,10,6,1932,,,Forward,,
1586,Jozsef Csuhay,7,12,1957,,,Defender,,
1587,Josef Ctyroky,9,30,1906,,,Defender,,
1588,Juan Guillermo Cuadrado,5,26,1988,5,9,Midfielder,,
1589,José Cubero,2,14,1987,5,10,Midfielder,,
1590,Luis Cubilla,3,28,1940,,,Forward,Midfielder,
1591,Pedro Cubilla,5,25,1933,,,Midfielder,,
1592,Teofilo Cubillas,3,8,1949,,,Forward,Midfielder,
1593,Samuel Cuburu,2,20,1928,,,Midfielder,,
1594,Antonello Cuccureddu,10,4,1949,,,Defender,,
1595,Jose Cuciuffo,2,1,1961,,,Defender,,
1596,Alexandru Cuedan,9,26,1910,,,Midfielder,,
1597,Leonardo Cuellar,1,14,1952,,,Midfielder,,
1598,Cesar Cueto,6,16,1952,,,Midfielder,,
1599,Nelson Cuevas,1,10,1980,5,9,Forward,,
1600,Leandro Cufre,5,9,1978,5,9,Defender,,
1601,Antoine Cuissard,7,19,1924,,,Midfielder,,
1602,Jason Culina,8,5,1980,5,8,Midfielder,,
1603,Bernd Cullmann,11,1,1949,,,Defender,Midfielder,
1604,Kenny Cunningham,6,28,1971,6,0,Defender,,
1605,Willie Cunningham,2,22,1925,,,Defender,,
1606,Willie Cunningham,2,20,1930,,,Defender,,
1607,Colin Curran,8,21,1947,,,Defender,,
1608,Curro Torres,12,27,1976,5,10,Defender,,
1609,Wilbur Cush,6,10,1928,,,Forward,,
1610,Theo Custers,8,10,1950,,,Goalkeeper,,
1611,Custodio Pinto,2,9,1942,,,Midfielder,,
1612,Iosif Czako,6,11,1906,,,Defender,,
1613,Ed Czerkiewicz,7,8,1912,,,Defender,,
1614,Alex Czerniatynski,7,28,1960,,,Forward,,
1615,Zoltan Czibor,8,23,1929,,,Forward,,
1616,Jorge Da Silva,12,11,1961,,,Forward,,
1617,Paulo Da Silva,2,1,1980,6,0,Defender,,
1618,Mladen Dabanovic,9,13,1971,6,5,Goalkeeper,,
1619,Il Jang Dae,3,9,1975,6,0,Defender,,
1620,Ali Daei,3,21,1969,6,3,Forward,,
1621,Viacheslav Daev,9,6,1972,6,0,Defender,,
1622,Omar Daf,2,12,1977,5,9,Defender,,
1623,Hadi Dahane,1,1,1946,,,Midfielder,,
1624,Mustafa Dahleb,2,8,1952,,,Midfielder,,
1625,Martin Dahlin,4,16,1968,,,Forward,,
1626,Christian Dailly,10,23,1973,,,Defender,,
1627,Laszlo Dajka,4,29,1959,,,Midfielder,,
1628,Pierre Dalem,3,16,1912,,,Midfielder,,
1629,Christian Dalger,12,19,1949,,,Forward,,
1630,Kenny Dalglish,3,4,1951,,,Forward,,
1631,Damas,10,8,1947,,,Goalkeeper,,
1632,Iraj Danayfar,3,19,1951,,,Midfielder,,
1633,Dani,6,28,1951,,,Forward,,
1634,Daniel Fernandes,9,25,1983,6,4,Goalkeeper,,
1635,Danilo Alvim,12,3,1920,,,Midfielder,,
1636,Vasily Danilov,5,13,1941,,,Defender,,
1637,Danny,8,7,1983,5,10,Forward,,
1638,Dante,10,18,1983,6,2,Defender,,
1639,Rachid Daoudi,2,21,1966,,,Midfielder,,
1640,Vitali Daraselia,10,9,1957,,,Midfielder,,
1641,Dario,3,4,1946,,,Forward,,
1642,Matteo Darmian,12,2,1989,5,11,Defender,,
1643,Julien Darui,2,16,1916,,,Goalkeeper,,
1644,Rinat Dassayev,6,13,1957,,,Goalkeeper,,
1645,Ferdinand Daucik,5,31,1910,,,Defender,,
1646,Fatau Dauda,4,6,1985,5,10,Goalkeeper,,
1647,Umit Davala,7,30,1973,6,1,Midfielder,,
1648,Daniel Davari,1,6,1988,6,3,Goalkeeper,,
1649,Mario David,3,13,1934,,,Defender,,
1650,Mircea David,10,16,1914,,,Goalkeeper,,
1651,David Luiz,4,22,1987,6,2,Defender,,
1652,David Silva,1,8,1986,5,9,Midfielder,,
1653,Ivan Davidov,10,5,1943,,,Midfielder,,
1654,Edgar Davids,3,13,1973,5,6,Midfielder,,
1655,Lance Davids,4,11,1985,5,7,Midfielder,,
1656,Jason Davidson,6,29,1991,5,10,Defender,,
1657,Jimmy Davidson,11,8,1925,,,Defender,,
1658,Duilio Davino,3,21,1976,5,10,Defender,,
1659,Brad Davis,11,8,1981,5,10,Midfielder,,
1660,Miguel Davis,6,18,1966,,,Midfielder,,
1661,Mirto Davoine,2,13,1933,,,Defender,,
1662,Christopher Dawes,5,31,1974,,,Midfielder,,
1663,Luigi De Agostini,4,7,1961,,,Defender,,
1664,Anthony De Avila,12,21,1962,,,Forward,,
1665,Jean De Bie,5,18,1892,,,Goalkeeper,,
1666,Glen De Boeck,8,22,1971,6,2,Defender,,
1667,Frank De Boer,5,15,1970,,,Defender,,
1668,Piet De Boer,10,10,1919,,,Forward,,
1669,Ronald De Boer,5,15,1970,,,Midfielder,,
1670,Hector De Bourgoing,7,23,1934,,,Forward,,
1671,Kevin De Bruyne,6,28,1991,5,10,Midfielder,,
1672,Tim De Cler,11,8,1978,5,10,Defender,,
1673,Jean De Clerq,5,17,1905,,,Midfielder,,
1674,Henri De Deken,8,3,1907,,,Defender,,
1675,David de Gea,11,7,1990,6,3,Goalkeeper,,
1676,Ed De Goey,12,20,1966,,,Goalkeeper,,
1677,Marc De Grijse,9,4,1965,,,Forward,,
1678,Jonathan de Guzmán,9,13,1987,5,8,Midfielder,,
1679,Bertus De Harder,1,14,1920,,,Forward,,
1680,Nigel De Jong,11,30,1984,5,8,Midfielder,,
1681,Theo De Jong,8,11,1947,,,Defender,,
1682,Antonio De La Cruz,5,7,1947,,,Defender,,
1683,Ulises De La Cruz,2,8,1974,5,10,Defender,,
1684,Antonio De La Torre,9,21,1951,,,Midfielder,,
1685,Orlando De La Torre,11,21,1943,,,Defender,,
1686,Mario De Las Casas,8,12,1905,,,Defender,,
1687,Hugo De Leon,2,27,1958,,,Defender,,
1688,Carlos De Los Cobos,12,10,1958,,,Midfielder,,
1689,Gonzalo De Los Santos,7,19,1976,6,1,Midfielder,,
1690,Pasquale De Luca,5,26,1962,,,Midfielder,,
1691,Gabriel De Michele,3,6,1941,,,Defender,,
1692,Fernando De Napoli,3,15,1964,,,Midfielder,,
1693,De Pedro,8,4,1973,5,10,Midfielder,,
1694,Daniele De Rossi,7,24,1983,5,11,Midfielder,,
1695,Morgan De Sanctis,3,26,1977,6,2,Goalkeeper,,
1696,Jean Francois De Sart,12,18,1961,,,Defender,,
1697,Maurits De Schrijver,6,26,1951,,,Defender,,
1698,Mattia De Sciglio,10,20,1992,6,0,Defender,,
1699,Gustavo De Simone,4,23,1948,,,Defender,,
1700,Giancarlo De Sisti,3,13,1943,,,Midfielder,,
1701,De Sordi,2,14,1931,,,Defender,,
1702,Alfredo De Vincenzi,1,24,1911,,,Forward,,
1703,Geert De Vlieger,10,16,1971,6,1,Goalkeeper,,
1704,Francois De Vries,8,21,1913,,,Forward,,
1705,Stefan de Vrij,2,5,1992,6,2,Defender,,
1706,Filip De Wilde,7,5,1964,,,Goalkeeper,,
1707,Alphonse De Winter,9,12,1908,,,Midfielder,,
1708,Arie De Winter,4,24,2016,,,Forward,,
1709,John De Wolf,12,10,1962,,,Defender,,
1710,Michel De Wolf,1,19,1958,,,Defender,,
1711,Demy De Zeeuw,5,26,1983,5,8,Midfielder,,
1712,Mathieu Debuchy,7,28,1985,5,9,Defender,,
1713,Deco,8,27,1977,5,8,Midfielder,,
1714,Zlatko Dedic,10,5,1984,5,7,Forward,,
1715,Chad Deering,9,2,1970,,,Midfielder,,
1716,Eric Deflandre,8,2,1973,5,10,Defender,,
1717,Jermain Defoe,10,7,1982,5,6,Forward,,
1718,Robert Defosse,6,16,1909,,,Goalkeeper,,
1719,Steven Defour,4,15,1988,5,8,Midfielder,,
1720,David Degen,2,15,1983,6,0,Forward,,
1721,Philipp Degen,2,15,1983,6,0,Defender,,
1722,Josef Degeorgi,1,19,1960,,,Defender,,
1723,Vasile Deheleanu,8,12,1910,,,Midfielder,,
1724,Ashkan Dejagah,7,5,1986,5,11,Midfielder,,
1725,Alfredo Del Aguila,1,3,1935,,,Forward,,
1726,Jose Del Castillo,1,1,1943,,,Forward,,
1727,Jesus Del Muro,11,30,1937,,,Defender,,
1728,Joaquin Del Olmo,4,20,1969,5,8,Midfielder,,
1729,Alessandro Del Piero,11,9,1974,5,8,Forward,,
1730,Luis Del Sol,4,6,1935,,,Midfielder,,
1731,Gerard Delbeke,9,1,1903,,,Forward,,
1732,Augustin Deleanu,8,23,1944,,,Defender,,
1733,Edmond Delfour,11,1,1907,,,Forward,Midfielder,
1734,Delgado,11,1,1979,5,10,Defender,,
1735,Agustin Delgado,12,23,1974,6,2,Forward,,
1736,Edder Delgado,11,20,1986,5,9,Midfielder,,
1737,Marcelo Delgado,3,24,1973,,,Forward,,
1738,Rogelio Delgado,10,12,1959,,,Defender,,
1739,Jose Della Torre,3,23,1906,,,Defender,,
1740,Pedro Dellacha,7,9,1926,,,Midfielder,,
1741,Celestin Delmer,2,15,1907,,,Midfielder,,
1742,Marco Delvecchio,4,7,1973,6,1,Forward,,
1743,Atilio Demaria,3,19,1909,,,Forward,,
1744,Mousa Dembélé,7,16,1987,6,0,Midfielder,,
1745,Emerich Dembrovschi,10,6,1945,,,Midfielder,,
1746,Guy Demel,6,13,1981,6,3,Defender,Midfielder,
1747,Jay Demerit,12,4,1979,5,10,Defender,,
1748,Martin Demichelis,12,20,1980,6,0,Defender,,
1749,Stephane Demol,3,11,1966,,,Defender,,
1750,Clint Dempsey,3,9,1983,6,0,Midfielder,,
1751,Anatoli Demyanenko,2,19,1959,,,Defender,,
1752,Alberto Denegri,4,24,2016,,,Midfielder,,
1753,Georgi Denev,4,18,1950,,,Forward,,
1754,Denilson,3,28,1943,,,Midfielder,,
1755,Denilson,8,24,1977,5,9,Forward,Midfielder,
1756,Modesto Denis,1,1,1901,,,Goalkeeper,,
1757,Igor Denisov,5,17,1984,5,9,Midfielder,,
1758,Memphis Depay,2,13,1994,5,10,Forward,,
1759,Dequinha,3,19,1928,,,Midfielder,,
1760,Eren Derdiyok,6,12,1988,6,2,Forward,,
1761,Rene Dereuddre,6,22,1930,,,Forward,,
1762,Dinko Dermendzhiev,6,2,1941,,,Forward,Midfielder,
1763,Marcel Desailly,9,7,1968,6,0,Defender,,
1764,Didier Deschamps,10,15,1968,5,8,Midfielder,,
1765,Jean Claude Desir,8,8,1946,,,Midfielder,,
1766,Philippe Desmet,11,29,1958,,,Forward,,
1767,Adalbert Desu,3,24,1909,,,Forward,,
1768,Lajos Detari,4,24,1963,,,Midfielder,,
1769,Stjepan Deveric,8,20,1961,,,Forward,,
1770,Johannes Devrindt,4,14,1944,,,Forward,,
1771,Nicolas Dewalque,9,20,1945,,,Defender,,
1772,Ivan Deyanov,12,16,1937,,,Goalkeeper,,
1773,Kazimierz Deyna,10,23,1947,,,Midfielder,,
1774,Gustavo Dezotti,2,14,1964,,,Forward,,
1775,Said Dghay,1,14,1964,,,Goalkeeper,,
1776,Tarek Dhiab,7,15,1954,,,Midfielder,,
1777,Vikash Dhorasoo,10,10,1973,5,6,Midfielder,,
1778,Luigi Di Biagio,6,3,1971,5,9,Midfielder,,
1779,Antonio Di Gennaro,10,5,1958,,,Midfielder,,
1780,Angelo Di Livio,7,26,1966,5,8,Midfielder,,
1781,Laurent Di Lorto,1,1,1909,,,Goalkeeper,,
1782,Angel Di Maria,2,14,1988,5,10,Midfielder,,
1783,Roberto Di Matteo,5,29,1970,,,Midfielder,,
1784,Antonio Di Natale,10,13,1977,5,6,Forward,,
1785,Nick Di Orio,2,4,1921,,,Forward,,
1786,Alfredo Di Stefano,7,4,1926,5,10,Forward,,
1787,Abou Diaby,5,11,1986,6,2,Midfielder,,
1788,Raoul Diagne,11,10,1910,,,Defender,,
1789,Omar Diallo,9,28,1972,6,1,Goalkeeper,,
1790,Diamantino,8,3,1959,,,Forward,,
1791,Salif Diao,2,10,1977,6,0,Midfielder,,
1792,Alou Diarra,7,15,1981,6,2,Midfielder,,
1793,Lamine Diatta,7,2,1975,6,0,Defender,,
1794,Eusebio Diaz,1,1,1901,,,Midfielder,,
1795,Guillermo Diaz,12,29,1930,,,Forward,,
1796,Hernan Diaz,2,26,1965,,,Defender,,
1797,Isidoro Diaz,3,14,1940,,,Forward,Midfielder,
1798,Júnior Díaz,9,12,1983,6,0,Defender,,
1799,Marcelo Díaz,12,30,1986,5,6,Midfielder,,
1800,Miguel Diaz,1,27,1957,,,Defender,,
1801,Nelson Diaz,1,12,1942,,,Defender,,
1802,Ramon Diaz,8,29,1959,,,Forward,,
1803,Ruben Diaz,4,17,1952,,,Defender,,
1804,Walter Dick,9,20,1905,,,Forward,,
1805,Jimmy Dickinson,4,24,1925,,,Midfielder,,
1806,Dida,3,16,1934,,,Forward,,
1807,Dida,10,7,1973,6,4,Goalkeeper,,
1808,Jan Diddens,9,14,1906,,,Midfielder,,
1809,Didi,10,8,1928,,,Midfielder,,
1810,Joe Didulica,10,14,1977,6,3,Goalkeeper,,
1811,Serey Die,11,7,1984,5,10,Midfielder,,
1812,Franz Dienert,1,1,1900,,,Forward,,
1813,Robert Dienst,3,1,1928,,,Forward,,
1814,Peter Dietrich,3,6,1944,,,Midfielder,,
1815,Bernd Dietz,3,22,1948,,,Defender,,
1816,Todor Diev,1,28,1934,,,Midfielder,,
1817,Lucas Digne,7,20,1993,5,10,Defender,,
1818,Hans Dihanich,10,24,1958,,,Midfielder,,
1819,Kagisho Dikgacoi,11,24,1984,5,10,Midfielder,,
1820,Vasilis Dimitriadis,2,1,1966,,,Forward,,
1821,Georgi Dimitrov,1,14,1959,,,Defender,,
1822,Ivan Dimitrov,5,14,1935,,,Defender,,
1823,Pantelei Dimitrov,5,14,1935,,,Midfielder,,
1824,Dimitar Dimov,12,13,1937,,,Defender,,
1825,Sirous Din Mohammadi,7,2,1970,,,Defender,,
1826,Aruna Dindane,11,26,1980,5,8,Forward,,
1827,Dino Sani,5,23,1932,,,Midfielder,,
1828,Cornel Dinu,8,2,1948,,,Defender,,
1829,Victor Diogo,4,9,1958,,,Defender,,
1830,Ismael Diomande,8,28,1992,5,11,Midfielder,,
1831,Bernard Diomede,1,23,1974,5,6,Midfielder,,
1832,Bouba Diop,1,28,1978,6,3,Midfielder,,
1833,Papa Malick Diop,12,29,1974,6,1,Defender,,
1834,El Hadji Diouf,1,15,1981,5,10,Forward,,
1835,Dirceu,6,15,1952,,,Forward,Midfielder,
1836,Henri Dirickx,7,7,1927,,,Defender,,
1837,Mix Diskerud,10,2,1990,6,0,Midfielder,,
1838,Laszlo Disztl,6,4,1962,,,Defender,,
1839,Peter Disztl,3,30,1960,,,Goalkeeper,,
1840,Eddie Ditchburn,10,24,1921,,,Goalkeeper,,
1841,Kerry Dixon,7,24,1961,,,Forward,,
1842,Linval Dixon,9,14,1971,,,Defender,,
1843,Abdelmoumene Djabou,1,31,1987,5,4,Midfielder,,
1844,Predrag Djajic,5,1,1922,,,Midfielder,,
1845,Constant Djakpa,10,17,1986,5,9,Defender,,
1846,Djalma Santos,2,27,1929,,,Defender,,
1847,Rafik Djebbour,3,8,1984,6,0,Forward,,
1848,Eric Djemba Djemba,5,4,1981,5,8,Forward,,
1849,Cedric Djeugoue,8,28,1992,6,0,Defender,,
1850,Momcilo Djokic,2,27,1911,,,Midfielder,,
1851,Boneventure Djonkep,8,20,1961,,,Forward,,
1852,Nenad Djordjevic,8,7,1979,6,0,Defender,,
1853,Predrag Djordjevic,8,4,1972,6,0,Midfielder,,
1854,Jean Djorkaeff,10,27,1939,,,Defender,,
1855,Youri Djorkaeff,3,9,1968,5,10,Midfielder,,
1856,Goran Djorovic,11,11,1971,,,Defender,,
1857,Johan Djourou,1,18,1987,6,3,Defender,,
1858,Miroslav Djukic,2,19,1966,,,Defender,,
1859,Andjelko Djuricic,11,21,1980,6,4,Goalkeeper,,
1860,Stefan Dobay,9,26,1909,,,Forward,,
1861,Karol Dobias,12,18,1947,,,Defender,,
1862,Anton Dobos,10,13,1965,,,Defender,,
1863,Nicolae Dobrin,8,26,1947,,,Midfielder,,
1864,Igor Dobrovolskyi,8,27,1967,,,Forward,,
1865,Doca,3,7,1903,,,Forward,,
1866,Tommy Docherty,4,24,1928,,,Midfielder,,
1867,Jan Dockx,5,24,1941,,,Midfielder,,
1868,Glen Dods,7,7,1957,,,Defender,,
1869,Pim Doesburg,10,28,1943,,,Goalkeeper,,
1870,Yoichi Doi,7,25,1973,6,0,Goalkeeper,,
1871,Kiril Dojcinovski,10,17,1943,,,Defender,,
1872,Paul Dolan,4,16,1966,,,Goalkeeper,,
1873,Bretislav Dolejsi,9,29,1928,,,Goalkeeper,,
1874,Abdelmajid Dolmy,4,19,1953,,,Midfielder,,
1875,Tadeusz Dolny,5,7,1958,,,Defender,,
1876,Jan Domarski,10,28,1946,,,Forward,,
1877,Angelo Domenghini,8,25,1941,,,Forward,,
1878,Flavius Domide,5,11,1946,,,Forward,,
1879,Domingos Da Guia,11,19,1912,,,Defender,,
1880,Alejandro Dominguez,11,9,1961,,,Midfielder,,
1881,Alexander Domínguez,6,5,1987,6,5,Goalkeeper,,
1882,Alfonso Dominguez,9,24,1965,,,Defender,,
1883,Diogenes Dominguez,1,1,1902,,,Forward,,
1884,Rogelio Dominguez,3,9,1931,,,Goalkeeper,,
1885,Cyrille Domoraud,7,22,1971,5,10,Defender,,
1886,Willie Donachie,10,5,1951,,,Defender,,
1887,Roberto Donadoni,9,9,1963,,,Midfielder,,
1888,Mal Donaghy,9,13,1957,,,Defender,,
1889,Aldo Donati,9,29,1910,,,Midfielder,,
1890,Aldo Donelli,7,22,1907,,,Forward,,
1891,Doni,10,22,1979,6,4,Goalkeeper,,
1892,Cristiano Doni,4,1,1973,6,0,Midfielder,,
1893,Simon Donnelly,12,1,1974,,,Forward,,
1894,Humberto Donoso,10,9,1938,,,Defender,,
1895,Landon Donovan,3,4,1982,5,8,Midfielder,,
1896,Thomas Dooley,5,12,1961,,,Defender,,
1897,Pablo Dorado,6,22,1908,,,Forward,,
1898,Tony Dorigo,12,31,1965,,,Defender,,
1899,Doriva,5,28,1972,,,Midfielder,,
1900,Dorst,4,24,2016,,,Defender,,
1901,Giovani Dos Santos,5,11,1989,5,8,Forward,,
1902,Julio Dos Santos,5,7,1983,6,2,Midfielder,,
1903,Giuseppe Dossena,5,2,1958,,,Midfielder,,
1904,Thomas Dossevi,3,6,1979,6,0,Midfielder,,
1905,Derek Dougan,1,20,1938,,,Forward,,
1906,Bryan Douglas,5,27,1934,,,Forward,,
1907,Jimmy Douglas,1,12,1898,,,Goalkeeper,,
1908,Mokhtar Douieb,3,23,1952,,,Defender,,
1909,Yvon Douis,5,16,1935,,,Forward,,
1910,Seydou Doumbia,12,31,1987,6,0,Forward,,
1911,Stewart Downing,7,22,1984,5,11,Midfielder,,
1912,John Doyle,3,16,1966,,,Defender,,
1913,Vasil Dragolov,8,17,1962,,,Forward,,
1914,Ivica Dragutinovic,11,13,1975,6,0,Defender,,
1915,Haminu Draman,4,1,1986,5,8,Midfielder,,
1916,Julian Draxler,9,20,1993,6,0,Midfielder,,
1917,Wolfgang Dremmler,7,12,1954,,,Midfielder,,
1918,Nasser Drid,1,22,1957,,,Goalkeeper,,
1919,Marcel Dries,9,19,1929,,,Defender,,
1920,Josip Drmic,8,8,1992,6,0,Forward,,
1921,Didier Drogba,3,11,1978,5,10,Forward,,
1922,Daaf Drok,5,23,1914,,,Forward,,
1923,Dominique Dropsy,12,9,1951,,,Goalkeeper,,
1924,Ljubinko Drulovic,9,11,1968,,,Midfielder,,
1925,Domingo Drummond,4,14,1957,,,Defender,,
1926,Jervis Drummond,9,8,1976,5,7,Defender,,
1927,Wei Du,2,9,1982,6,1,Defender,,
1928,Jaime Duarte,2,27,1955,,,Defender,,
1929,Óscar Duarte,7,3,1989,6,0,Defender,,
1930,Eduard Dubinski,4,6,1935,,,Defender,,
1931,Rodolfo Dubo,9,11,1953,,,Midfielder,,
1932,Peter Ducke,10,14,1941,,,Forward,,
1933,Serge Ducoste,2,4,1944,,,Defender,,
1934,Duda,6,27,1980,5,8,Defender,,
1935,Janos Dudas,1,1,1911,,,Midfielder,,
1936,Jerzy Dudek,3,23,1973,6,1,Goalkeeper,,
1937,Milan Dudic,11,1,1979,6,0,Defender,,
1938,Dariusz Dudka,12,9,1983,5,11,Defender,,
1939,Richard Duerr,12,1,1938,,,Midfielder,,
1940,Damien Duff,3,2,1979,5,9,Forward,,
1941,Christophe Dugarry,3,24,1972,6,2,Forward,,
1942,Christian Dulca,10,25,1972,,,Defender,,
1943,Igor Duljaj,10,29,1979,5,8,Midfielder,,
1944,Florea Dumitrache,5,22,1948,,,Forward,,
1945,Ilie Dumitrescu,1,6,1969,,,Forward,,
1946,Ion Dumitru,1,2,1950,,,Midfielder,,
1947,Dunga,10,31,1963,,,Midfielder,,
1948,Gosta Dunker,9,16,1905,,,Forward,,
1949,George Dunlop,1,16,1956,,,Goalkeeper,,
1950,Richard Dunne,9,21,1979,6,1,Defender,,
1951,Jacques Duquesne,4,22,1940,,,Goalkeeper,,
1952,Segundo Durandal,3,17,1907,,,Defender,,
1953,Jan Durica,12,10,1981,6,1,Defender,,
1954,Gordon Durie,12,6,1965,,,Forward,,
1955,Vladimir Durkovic,11,6,1937,,,Defender,,
1956,Erik Durm,5,12,1992,6,0,Defender,,
1957,Milan Dvorak,11,19,1934,,,Forward,,
1958,Dionizije Dvornic,4,27,1926,,,Forward,,
1959,Ilia Dyakov,9,28,1963,,,Defender,,
1960,Kieron Dyer,12,29,1978,5,6,Midfielder,,
1961,Ewald Dytko,10,18,1914,,,Midfielder,,
1962,Alan Dzagoev,6,17,1990,5,10,Midfielder,,
1963,Dragan Dzajic,5,30,1946,,,Forward,,
1964,Edin Dzeko,3,17,1986,6,3,Forward,,
1965,Blerim Dzemaili,4,12,1986,5,10,Midfielder,,
1966,Dariusz Dziekanowski,9,30,1962,,,Midfielder,,
1967,Elvedin Dzinic,8,25,1985,6,2,Defender,,
1968,Marek Dziuba,12,19,1955,,,Defender,,
1969,Revaz Dzodzvashvili,4,15,1945,,,Defender,,
1970,Robert Earle,1,27,1965,,,Midfielder,,
1971,George Eastham,9,23,1936,,,Forward,Midfielder,
1972,Ernest Ebongue,5,15,1962,,,Forward,,
1973,Emmanuel Eboue,6,4,1983,5,10,Defender,,
1974,Bertin Ebwelle,9,11,1962,,,Defender,,
1975,Eligio Echague,1,1,1931,,,Defender,,
1976,Echeberria,3,24,1940,,,Defender,,
1977,Hector Echeverri,4,10,1938,,,Defender,,
1978,Uwa Echiejile,1,20,1988,6,5,Defender,,
1979,Horst Eckel,2,8,1932,,,Forward,Midfielder,
1980,Bill Eckersley,7,16,1925,,,Defender,,
1981,Eder,5,25,1957,,,Midfielder,,
1982,Eder,12,22,1987,6,2,Forward,,
1983,Norbert Eder,11,7,1955,,,Defender,,
1984,Edevaldo,1,28,1958,,,Defender,,
1985,Edilson,9,17,1970,5,6,Forward,,
1986,Edinho,6,5,1955,,,Defender,,
1987,Edivaldo,4,13,1962,,,Forward,,
1988,Erik Edman,11,11,1978,5,10,Defender,,
1989,Edmilson,7,10,1976,6,1,Defender,,
1990,Edmundo,4,2,1971,,,Forward,,
1991,Edson,3,2,1980,5,8,Midfielder,,
1992,Edson,7,3,1959,,,Defender,,
1993,Ralf Edstrom,10,7,1952,,,Forward,,
1994,Edu,8,6,1949,,,Forward,,
1995,Maurice Edu,4,18,1986,6,0,Midfielder,,
1996,Eduardo,2,25,1983,5,10,Forward,,
1997,Eduardo,9,19,1982,6,1,Goalkeeper,,
1998,Carlos Edwards,10,24,1978,5,10,Midfielder,,
1999,Federico Edwards,1,27,1931,,,Defender,,
2000,Trevor Edwards,1,24,1937,,,Defender,,
2001,Stefan Effenberg,8,2,1968,,,Midfielder,,
2002,Dan Eggen,1,13,1970,,,Defender,,
2003,Mario Eggimann,1,24,1981,6,0,Defender,,
2004,Oliver Eggimann,1,28,1919,,,Defender,Midfielder,
2005,Andy Egli,5,8,1958,,,Defender,,
2006,Augustine Eguavoen,8,19,1965,,,Defender,,
2007,Sebastian Eguren,1,8,1981,6,1,Midfielder,,
2008,Azubuike Egwuekwe,7,16,1989,6,4,Defender,,
2009,Walter Eich,5,27,1925,,,Goalkeeper,,
2010,Eric Eichmann,5,7,1965,,,Forward,,
2011,Leo Eichmann,12,24,1936,,,Goalkeeper,,
2012,Saber Eid,5,1,1959,,,Midfielder,,
2013,Alfred Eisenbeisser,4,7,1908,,,Midfielder,,
2014,Eissa Meer,7,16,1967,,,Defender,,
2015,Ignacio Eizaguirre,11,7,1920,,,Goalkeeper,,
2016,Inge Ejderstedt,12,24,1946,,,Midfielder,,
2017,Austin Ejide,4,8,1984,6,1,Goalkeeper,,
2018,Eric Ejiofor,7,21,1979,6,0,Defender,,
2019,Eugene Ekeke,5,30,1960,,,Forward,,
2020,Samuel Ekeme,7,12,1966,,,Defender,,
2021,Mbungu Ekofo,11,24,1948,,,Forward,,
2022,Efan Ekoku,6,8,1967,6,0,Forward,,
2023,Johnny Ekstrom,3,5,1965,,,Forward,,
2024,Zakaria El Achraf,6,17,1966,,,Goalkeeper,,
2025,Hababi El Arbi,8,12,1967,,,Midfielder,,
2026,Thabet El Batal,9,16,1953,,,Goalkeeper,,
2027,Mustafa El Biyaz,12,12,1960,,,Defender,,
2028,Abdelkader El Brazi,11,5,1964,,,Goalkeeper,,
2029,Mustapha El Chadili,2,14,1973,5,6,Goalkeeper,,
2030,Mohamed El Filali,7,9,1945,,,Midfielder,,
2031,Mustapha El Hadaoui,7,28,1961,,,Midfielder,,
2032,Mohammed El Haddaoui,10,21,1964,,,Midfielder,,
2033,Larbi El Hadi,5,27,1961,,,Goalkeeper,,
2034,Mustafa El Hadji,11,16,1971,,,Midfielder,,
2035,Abdelkarim El Hadrioui,3,6,1972,,,Defender,,
2036,Ahmed El Kass,7,8,1965,,,Forward,,
2037,Taher El Khalej,6,16,1968,,,Defender,,
2038,Ali El Khattabi,1,17,1977,,,Forward,,
2039,Abdelkader El Khyati,1,1,1945,,,Defender,,
2040,Choukri El Ouaer,8,15,1966,,,Goalkeeper,,
2041,Adel El Sellimi,11,16,1972,5,9,Forward,,
2042,Ali El-Said,4,10,1908,,,Defender,,
2043,Eladio,11,18,1940,,,Defender,,
2044,Joseph Elanga,5,2,1979,,,Midfielder,,
2045,Elano,6,14,1981,5,8,Midfielder,,
2046,Federico Elduayen,6,25,1977,5,11,Goalkeeper,,
2047,Humberto Elgueta,4,24,2016,,,Midfielder,,
2048,Eljero Elia,2,13,1987,5,9,Forward,,
2049,Preben Elkjaer Larsen,9,11,1957,,,Forward,,
2050,Matt Elliott,11,1,1968,,,Defender,,
2051,Simon Elliott,6,10,1974,5,10,Midfielder,,
2052,Ridha Ellouz,4,27,1953,,,Defender,,
2053,Johan Elmander,5,27,1981,6,2,Forward,,
2054,Eloy,7,10,1964,,,Forward,,
2055,Adrian Elrick,9,29,1949,,,Defender,,
2056,Charly Elsener,8,13,1934,,,Goalkeeper,,
2057,John Elsworthy,7,26,1931,,,Midfielder,,
