pid,cup_year,cid,jersey,played,started,captain,goals,goal_avg,yellow,red
110,1974,10,22,2,0,0,0,0.0,0,0
111,1950,10,,0,0,0,0,0.0,0,0
112,2014,54,1,0,0,0,0,0.0,0,0
113,1954,34,19,0,0,0,0,0.0,0,0
114,2002,26,19,7,4,0,2,0.29,1,0
114,2006,26,9,3,0,0,1,0.33,1,0
114,2010,26,9,0,0,0,0,0.0,0,0
115,2010,36,16,0,0,0,0,0.0,0,0
116,1974,20,9,3,3,0,1,0.33,0,0
117,1990,19,2,3,3,0,0,0.0,0,0
118,2002,4,16,3,1,0,0,0.0,0,0
118,2006,4,16,3,0,0,0,0.0,0,0
119,1954,30,3,2,2,0,0,0.0,0,0
120,1986,30,8,3,3,0,0,0.0,0,0
120,1990,30,3,3,3,3,0,0.0,0,0
121,2010,32,8,3,3,0,1,0.33,0,0
122,2010,32,23,0,0,0,0,0.0,0,0
123,2006,42,2,3,2,0,0,0.0,0,0
124,1954,34,18,0,0,0,0,0.0,0,0
125,1978,52,9,3,3,0,0,0.0,0,0
126,2014,11,1,3,3,0,0,0.0,0,0
127,1998,35,17,3,3,0,0,0.0,1,0
127,2002,35,2,0,0,0,0,0.0,0,0
128,2006,70,12,0,0,0,0,0.0,0,0
129,2014,42,7,0,0,0,0,0.0,0,0
130,2006,63,10,3,3,3,0,0.0,0,0
131,2002,32,18,1,1,0,0,0.0,0,0
132,2002,34,4,7,7,0,0,0.0,1,0
133,1982,66,10,3,3,0,0,0.0,1,0
134,1998,50,22,0,0,0,0,0.0,0,0
135,1994,50,18,1,1,0,0,0.0,0,0
136,2006,50,15,0,0,0,0,0.0,0,0
137,1982,66,8,3,3,0,1,0.33,0,0
138,1994,50,8,4,4,0,0,0.0,0,0
139,2006,50,17,0,0,0,0,0.0,0,0
140,1982,66,16,3,3,0,1,0.33,0,0
141,1994,50,15,0,0,0,0,0.0,0,0
142,1994,50,1,4,4,0,0,0.0,1,0
142,1998,50,1,3,3,0,0,0.0,0,0
142,2002,50,1,3,3,2,0,0.0,0,0
142,2006,50,1,0,0,0,0,0.0,0,0
143,1994,50,2,2,1,0,0,0.0,1,0
144,2002,50,15,3,0,0,0,0.0,0,0
145,1998,50,17,1,0,0,0,0.0,0,0
145,2002,50,12,2,1,0,0,0.0,0,0
145,2006,50,2,3,3,0,0,0.0,1,0
146,1998,50,8,1,0,0,0,0.0,0,0
146,2002,50,11,1,1,0,0,0.0,0,0
147,1998,50,16,3,3,0,0,0.0,1,0
147,2002,50,16,2,2,0,0,0.0,0,0
148,1934,65,,1,1,0,0,0.0,0,0
149,2002,50,19,0,0,0,0,0.0,0,0
149,2006,50,6,2,2,0,0,0.0,1,0
150,1982,66,11,0,0,0,0,0.0,0,0
151,1994,50,7,2,0,0,1,0.5,0,0
152,1990,73,21,2,1,0,0,0.0,0,0
153,1982,66,19,0,0,0,0,0.0,0,0
154,1998,50,12,2,0,0,0,0.0,0,0
155,2006,50,11,1,1,0,0,0.0,0,0
156,1982,66,15,0,0,0,0,0.0,0,0
157,2006,50,23,3,0,0,0,0.0,0,0
158,1994,50,22,0,0,0,0,0.0,0,0
159,1982,66,6,3,3,3,0,0.0,0,0
160,1994,50,12,2,2,0,1,0.5,0,0
160,1998,50,9,3,3,0,1,0.33,1,0
160,2002,50,9,1,1,1,0,0.0,0,0
160,2006,50,9,3,1,1,1,0.33,1,0
161,1998,50,2,3,3,0,0,0.0,1,0
161,2002,50,2,2,2,0,0,0.0,0,0
162,1998,50,19,0,0,0,0,0.0,0,0
163,2006,50,20,2,2,0,1,0.5,0,0
164,1994,50,3,4,4,0,0,0.0,0,0
164,1998,50,3,2,2,0,0,0.0,0,1
165,1994,50,11,0,0,0,0,0.0,0,0
165,1998,50,11,1,1,0,0,0.0,0,0
166,2006,50,4,3,3,0,0,0.0,0,0
167,1982,66,5,3,3,0,0,0.0,0,0
168,1994,50,14,4,2,0,0,0.0,2,0
168,1998,50,14,2,1,0,0,0.0,1,0
169,1994,50,10,4,4,0,1,0.25,0,0
169,1998,50,10,2,2,0,0,0.0,0,0
170,1982,66,4,0,0,0,0,0.0,0,0
171,2006,50,5,0,0,0,0,0.0,0,0
172,1986,69,22,3,3,0,0,0.0,0,0
173,1994,50,21,0,0,0,0,0.0,0,0
173,1998,50,21,0,0,0,0,0.0,0,0
174,2002,50,17,2,2,0,0,0.0,0,0
175,1998,50,7,3,2,0,0,0.0,0,0
175,2002,50,7,3,2,0,0,0.0,0,0
176,2002,50,10,1,0,0,0,0.0,0,0
176,2006,50,10,0,0,0,0,0.0,0,0
177,2002,50,6,2,2,0,0,0.0,0,0
178,1982,66,17,2,0,0,0,0.0,0,0
179,1998,50,13,3,3,0,0,0.0,0,0
179,2002,50,13,3,3,0,0,0.0,0,0
179,2006,50,13,3,3,2,0,0.0,0,0
180,1994,50,17,0,0,0,0,0.0,0,0
181,1990,73,10,3,3,0,0,0.0,0,0
182,1982,66,1,3,3,0,0,0.0,0,0
183,1998,50,18,1,1,0,0,0.0,0,0
183,2002,50,18,3,3,0,0,0.0,1,0
183,2006,50,18,2,1,0,0,0.0,1,0
184,1998,50,15,2,1,0,1,0.5,0,0
185,2002,50,20,3,2,0,0,0.0,1,0
186,1970,33,4,1,1,0,0,0.0,0,0
186,1974,33,12,0,0,0,0,0.0,0,0
187,1970,44,17,2,1,0,0,0.0,0,0
188,2014,5,18,3,3,0,0,0.0,0,0
189,1934,4,,0,0,0,0,0.0,0,0
190,2002,5,14,2,1,0,0,0.0,0,0
190,2006,5,6,2,1,0,0,0.0,1,0
191,1962,16,9,3,3,0,4,1.33,0,0
191,1966,16,9,4,4,0,0,0.0,0,0
192,1990,14,3,1,1,0,0,0.0,0,0
192,1994,14,4,3,3,0,2,0.67,1,0
193,1994,3,11,7,7,0,0,0.0,3,0
193,1998,3,9,4,3,0,0,0.0,0,0
194,1962,3,13,0,0,0,0,0.0,0,0
194,1966,3,1,3,3,0,0,0.0,0,0
194,1970,3,1,6,6,0,0,0.0,0,0
194,1974,3,12,0,0,0,0,0.0,0,0
195,2010,5,2,0,0,0,0,0.0,0,0
195,2014,5,2,1,1,0,0,0.0,0,0
196,1986,30,15,1,1,0,0,0.0,0,0
197,2014,20,3,0,0,0,0,0.0,0,0
198,1930,68,,2,2,0,0,0.0,0,0
199,1934,2,,0,0,0,0,0.0,0,0
200,1970,18,20,0,0,0,0,0.0,0,0
201,1962,4,17,0,0,0,0,0.0,0,0
201,1966,4,12,3,3,0,0,0.0,0,1
202,2006,23,2,0,0,0,0,0.0,0,0
203,1934,24,,1,1,0,0,0.0,0,0
204,2010,22,21,4,4,0,1,0.25,1,0
205,1986,22,17,0,0,0,0,0.0,0,0
206,1934,7,,1,1,0,0,0.0,0,0
207,1966,1,18,2,2,0,0,0.0,0,0
208,1990,1,14,0,0,0,0,0.0,0,0
208,1994,1,13,7,6,0,0,0.0,1,0
208,1998,1,3,6,6,0,0,0.0,2,0
209,2014,14,2,4,4,0,0,0.0,2,0
210,1990,38,9,5,5,0,0,0.0,1,0
210,1994,38,9,3,1,0,1,0.33,0,0
211,1986,11,20,4,4,0,1,0.25,0,0
211,1990,11,7,3,3,0,0,0.0,0,0
212,1970,13,2,0,0,0,0,0.0,0,0
213,1994,33,18,0,0,0,0,0.0,0,0
214,1986,1,15,5,5,0,0,0.0,0,0
214,1990,1,5,4,4,0,0,0.0,0,0
215,2002,11,15,2,1,0,0,0.0,2,0
216,2002,10,7,4,4,0,1,0.25,1,0
216,2006,10,7,4,4,0,0,0.0,1,0
217,1966,17,20,5,5,0,0,0.0,0,0
218,1994,49,21,1,1,0,0,0.0,0,0
219,1982,5,6,5,5,0,0,0.0,1,0
220,1994,49,22,1,1,0,0,0.0,0,0
221,1994,49,16,1,1,0,0,0.0,1,0
222,1982,77,16,1,0,0,0,0.0,0,0
223,2006,29,23,0,0,0,0,0.0,0,0
224,1998,5,11,2,2,0,0,0.0,0,0
225,1974,1,15,1,1,0,0,0.0,0,0
226,1950,1,,1,1,0,1,1.0,0,0
227,1954,1,13,0,0,0,0,0.0,0,0
228,1950,68,,1,1,0,0,0.0,0,0
229,1954,34,14,0,0,0,0,0.0,0,0
230,1986,69,12,0,0,0,0,0.0,0,0
231,1990,5,12,1,0,0,0,0.0,0,0
231,1994,5,18,4,4,0,0,0.0,0,0
231,1998,5,4,3,3,0,0,0.0,0,0
232,1978,54,5,1,1,0,0,0.0,0,0
233,2002,10,10,4,4,0,0,0.0,1,0
233,2006,10,20,4,1,0,1,0.25,2,0
234,1958,53,10,5,5,0,2,0.4,0,0
235,1958,53,21,0,0,0,0,0.0,0,0
236,1934,3,,5,5,0,0,0.0,0,0
237,1962,21,14,3,3,0,0,0.0,0,0
238,1966,21,2,0,0,0,0,0.0,0,0
239,1986,2,13,0,0,0,0,0.0,0,0
240,1986,2,19,7,7,0,2,0.29,1,0
241,1982,2,16,0,0,0,0,0.0,0,0
242,2014,17,19,2,1,0,0,0.0,0,0
243,2010,17,18,2,2,0,1,0.5,1,0
243,2014,17,9,1,1,0,0,0.0,0,0
244,1998,4,5,5,5,0,0,0.0,1,0
244,2002,4,5,1,1,0,0,0.0,1,0
245,1938,10,,3,3,0,0,0.0,0,0
246,1986,4,1,0,0,0,0,0.0,0,0
247,1982,61,6,2,2,0,0,0.0,0,0
248,2014,54,17,0,0,0,0,0.0,0,0
249,2002,31,15,0,0,0,0,0.0,0,0
250,2006,46,15,4,0,0,1,0.25,1,0
251,1986,22,21,0,0,0,0,0.0,0,0
252,1938,57,,1,1,0,0,0.0,0,0
253,1982,5,4,5,5,0,0,0.0,0,0
254,1978,4,1,3,0,0,0,0.0,0,0
255,1974,46,12,3,3,0,0,0.0,0,0
256,1958,3,18,3,3,0,2,0.67,0,0
256,1962,3,9,2,2,0,0,0.0,0,0
257,1962,1,15,0,0,0,0,0.0,0,0
257,1966,1,6,2,2,0,0,0.0,0,0
258,2002,50,23,0,0,0,0,0.0,0,0
259,2010,23,17,4,4,0,0,0.0,1,0
259,2014,23,17,1,1,0,0,0.0,0,0
260,1982,3,18,3,0,0,1,0.33,0,0
260,1986,3,18,4,4,0,4,1.0,0,0
261,2002,22,8,2,2,0,0,0.0,0,0
262,2010,62,17,2,2,0,0,0.0,0,0
263,1962,9,18,3,3,0,0,0.0,0,0
263,1966,9,16,0,0,0,0,0.0,0,0
264,1962,9,3,3,3,0,0,0.0,0,0
264,1966,9,14,0,0,0,0,0.0,0,0
265,1990,28,14,4,4,0,0,0.0,1,0
265,1994,28,14,3,3,0,0,0.0,2,0
266,1950,20,,3,3,0,0,0.0,0,0
267,2014,4,19,1,0,0,0,0.0,0,0
268,2014,28,16,1,1,0,0,0.0,0,0
269,1986,17,5,3,3,0,0,0.0,0,0
270,2006,10,12,0,0,0,0,0.0,0,0
271,2010,17,2,4,4,0,0,0.0,0,0
271,2014,17,2,3,3,0,0,0.0,0,0
272,2010,1,13,5,3,0,0,0.0,0,0
272,2014,1,2,4,4,0,0,0.0,1,0
273,1986,9,12,4,4,0,0,0.0,1,0
273,1990,9,1,4,4,0,0,0.0,1,0
274,1986,9,7,3,2,0,1,0.33,0,0
274,1990,9,7,3,2,0,0,0.0,0,0
275,1962,28,4,2,2,0,0,0.0,0,0
276,1950,3,,1,1,0,0,0.0,0,0
277,1938,21,,3,3,0,0,0.0,0,0
278,1986,13,18,3,3,0,0,0.0,0,0
279,1978,10,14,0,0,0,0,0.0,0,0
280,1986,44,16,0,0,0,0,0.0,0,0
281,1966,5,8,2,2,0,1,0.5,0,0
282,1982,41,21,0,0,0,0,0.0,0,0
282,1986,41,22,0,0,0,0,0.0,0,0
283,1978,1,4,7,7,0,0,0.0,0,0
284,1962,1,20,4,4,0,3,0.75,0,0
285,1958,22,11,3,3,0,2,0.67,0,0
286,1994,13,4,4,4,4,0,0.0,0,0
287,1954,9,19,4,4,0,1,0.25,0,0
288,2014,32,5,4,4,0,0,0.0,0,0
289,2006,40,13,1,1,0,0,0.0,0,0
290,1966,21,3,2,2,0,0,0.0,0,0
291,2006,50,7,2,1,0,0,0.0,0,0
292,2006,3,14,0,0,0,0,0.0,0,0
293,2014,32,23,2,0,0,0,0.0,0,0
294,1998,19,11,0,0,0,0,0.0,0,0
295,1966,17,1,0,0,0,0,0.0,0,0
296,1930,13,,2,2,0,0,0.0,0,0
297,1994,50,6,3,3,0,2,0.67,2,0
297,1998,50,6,3,3,3,0,0.0,0,0
298,2006,36,14,4,4,0,0,0.0,0,0
298,2010,36,14,2,0,0,0,0.0,0,0
299,1994,32,14,4,4,0,2,0.5,0,0
299,1998,32,14,1,1,0,0,0.0,0,0
300,1998,5,18,3,2,0,0,0.0,1,0
301,2010,17,17,1,0,0,0,0.0,0,0
301,2014,17,20,1,1,0,0,0.0,0,0
302,1982,7,2,5,5,0,0,0.0,2,0
302,1986,7,2,7,7,0,1,0.14,1,0
303,1934,23,,0,0,0,0,0.0,0,0
304,1938,45,,0,0,0,0,0.0,0,0
305,1994,32,11,4,4,0,2,0.5,1,0
306,1998,44,17,3,1,0,0,0.0,0,0
307,2010,58,7,0,0,0,0,0.0,0,0
308,1994,26,13,0,0,0,0,0.0,0,0
309,2002,74,1,0,0,0,0,0.0,0,0
310,1966,58,21,0,0,0,0,0.0,0,0
311,2010,58,17,3,3,0,0,0.0,0,0
312,1974,3,19,3,2,0,1,0.33,0,0
313,1986,3,9,0,0,0,0,0.0,0,0
313,1990,3,9,3,2,0,0,0.0,0,0
314,1970,9,2,6,6,0,0,0.0,0,0
315,1998,31,16,0,0,0,0,0.0,0,0
316,1934,8,,1,1,0,0,0.0,0,0
316,1938,8,,1,1,0,0,0.0,0,0
317,1986,25,21,3,3,0,0,0.0,1,0
318,1938,45,,0,0,0,0,0.0,0,0
319,2010,25,16,0,0,0,0,0.0,0,0
320,1954,30,14,0,0,0,0,0.0,0,0
321,1962,6,14,0,0,0,0,0.0,0,0
322,1982,6,2,0,0,0,0,0.0,0,0
322,1986,6,12,0,0,0,0,0.0,0,0
323,2002,1,14,2,2,0,0,0.0,0,0
324,1938,10,,1,1,0,0,0.0,0,0
325,2002,10,22,4,0,0,0,0.0,0,0
326,1974,10,5,4,4,0,0,0.0,1,0
327,2002,10,20,0,0,0,0,0.0,0,0
327,2006,10,19,1,0,0,0,0.0,0,0
328,1934,10,,2,2,0,0,0.0,0,0
329,1938,10,,3,3,0,1,0.33,0,0
330,1994,10,19,7,6,0,5,0.71,2,0
331,1978,10,13,0,0,0,0,0.0,0,0
332,1934,10,,0,0,0,0,0.0,0,0
333,1994,10,3,7,7,0,0,0.0,0,0
333,2002,10,3,0,0,0,0,0.0,0,0
334,1978,10,20,0,0,0,0,0.0,0,0
335,1978,10,3,3,3,0,0,0.0,0,0
336,1950,10,,5,5,0,2,0.4,0,0
337,1934,10,,2,2,0,0,0.0,0,0
338,1990,10,1,0,0,0,0,0.0,0,0
339,1998,6,14,4,4,0,1,0.25,0,0
340,1930,7,,0,0,0,0,0.0,0,0
341,1990,24,4,4,4,0,0,0.0,0,0
342,1994,33,22,0,0,0,0,0.0,0,0
343,1930,9,,4,4,0,0,0.0,0,0
344,1986,17,21,2,2,0,0,0.0,0,0
345,2006,63,8,2,2,0,0,0.0,1,1
346,1974,75,4,1,1,0,0,0.0,0,0
347,1998,1,15,0,0,0,0,0.0,0,0
348,2006,63,19,0,0,0,0,0.0,0,0
349,1938,45,,0,0,0,0,0.0,0,0
350,1938,3,,4,4,0,0,0.0,0,0
351,1938,45,,0,0,0,0,0.0,0,0
352,2006,67,4,0,0,0,0,0.0,0,0
353,1982,11,15,3,0,0,0,0.0,0,0
354,1990,5,4,4,4,0,0,0.0,0,0
355,1986,16,22,0,0,0,0,0.0,0,0
356,2010,4,21,0,0,0,0,0.0,0,0
356,2014,4,21,0,0,0,0,0.0,0,0
357,2010,7,21,2,2,0,0,0.0,0,0
358,1998,31,8,3,2,0,0,0.0,1,0
359,2010,42,2,0,0,0,0,0.0,0,0
360,1962,12,7,1,1,0,0,0.0,0,0
361,2010,36,6,5,5,0,0,0.0,1,0
362,1950,23,,0,0,0,0,0.0,0,0
363,1950,3,,1,1,0,0,0.0,0,0
364,1954,14,10,2,2,0,3,1.5,0,0
365,2014,54,10,1,0,0,0,0.0,1,0
366,1930,9,,2,2,0,3,1.5,0,0
367,1950,21,,2,2,0,1,0.5,0,0
367,1954,21,15,3,3,0,0,0.0,0,0
367,1962,21,15,3,3,3,0,0.0,0,0
368,1978,3,9,5,5,0,0,0.0,0,0
368,1982,3,9,6,6,0,0,0.0,1,0
369,1974,75,9,3,3,0,0,0.0,0,0
370,2002,10,13,0,0,0,0,0.0,0,0
371,1986,17,3,3,3,0,0,0.0,0,0
372,1950,5,,1,1,0,0,0.0,0,0
373,1966,3,2,0,0,0,0,0.0,0,0
374,2010,2,4,1,1,0,0,0.0,1,0
375,1982,31,16,3,3,0,0,0.0,1,0
376,2014,35,14,1,1,0,0,0.0,0,0
377,1970,77,11,3,2,0,0,0.0,0,0
378,1994,3,2,3,1,0,0,0.0,1,0
379,1962,28,7,0,0,0,0,0.0,0,0
380,1994,49,2,2,2,1,0,0.0,0,0
381,1966,33,19,0,0,0,0,0.0,0,0
382,2006,36,10,4,4,4,1,0.25,2,0
382,2010,36,10,3,0,0,0,0.0,0,0
383,1958,11,7,1,1,0,0,0.0,0,0
384,2014,3,14,0,0,0,0,0.0,0,0
385,2014,13,20,1,0,0,0,0.0,0,0
386,1982,77,7,0,0,0,0,0.0,0,0
387,1986,33,3,3,3,0,0,0.0,1,0
388,1930,1,,1,1,0,0,0.0,0,0
389,2014,20,20,4,4,0,1,0.25,1,0
390,1998,5,3,0,0,0,0,0.0,0,0
391,1950,68,,0,0,0,0,0.0,0,0
392,1962,5,1,1,1,0,0,0.0,0,0
393,1966,20,1,3,3,0,0,0.0,0,0
394,2010,5,17,1,0,0,0,0.0,0,0
395,1934,3,,0,0,0,0,0.0,0,0
396,1998,22,2,3,3,0,0,0.0,2,0
396,2002,22,2,4,4,0,1,0.25,1,0
397,1982,30,18,3,2,0,1,0.33,0,0
397,1986,30,17,1,1,0,0,0.0,1,0
398,1978,5,1,0,0,0,0,0.0,0,0
398,1982,5,1,5,5,5,0,0.0,0,0
399,1978,4,2,6,6,0,0,0.0,1,0
399,1982,4,1,5,5,0,1,0.2,1,0
400,1930,20,,1,1,0,0,0.0,0,0
401,1998,13,21,4,0,0,0,0.0,0,0
401,2002,13,21,3,3,0,0,0.0,1,0
401,2006,13,21,1,0,0,0,0.0,0,0
402,1954,13,11,2,2,0,0,0.0,0,0
403,2002,43,16,3,3,0,0,0.0,0,0
404,1958,22,2,3,3,0,0,0.0,0,0
405,2010,9,17,7,7,0,0,0.0,1,0
405,2014,9,17,4,4,0,0,0.0,1,0
406,1938,1,,1,1,0,0,0.0,0,0
407,1930,68,,1,1,0,0,0.0,0,0
408,1974,20,4,3,3,0,0,0.0,0,0
409,1962,28,22,1,1,0,0,0.0,0,0
410,1938,57,,3,3,0,0,0.0,0,0
411,2014,28,4,3,1,0,0,0.0,0,0
412,1934,1,,0,0,0,0,0.0,0,0
413,1994,28,16,0,0,0,0,0.0,0,0
413,1998,28,15,3,1,0,0,0.0,1,0
414,1982,37,13,0,0,0,0,0.0,0,0
415,1934,1,,1,1,0,0,0.0,0,0
416,2014,28,7,5,5,0,1,0.2,1,0
417,1962,6,2,4,4,0,0,0.0,0,0
417,1966,6,14,0,0,0,0,0.0,0,0
418,1990,23,15,3,3,0,0,0.0,0,0
419,1982,39,9,5,5,0,3,0.6,0,0
419,1986,39,14,1,0,0,0,0.0,0,0
420,1954,6,19,0,0,0,0,0.0,0,0
421,1986,25,15,3,3,0,0,0.0,1,1
422,1998,20,16,1,1,0,0,0.0,0,0
423,1950,68,,0,0,0,0,0.0,0,0
424,2014,40,15,2,1,0,0,0.0,0,0
425,1930,12,,3,3,0,0,0.0,0,0
426,1966,7,2,3,3,3,0,0.0,0,0
427,1966,4,19,4,4,0,3,0.75,1,0
428,1990,19,8,2,2,0,0,0.0,0,1
429,1982,62,21,3,3,0,0,0.0,0,0
430,2002,2,14,3,0,0,0,0.0,0,0
430,2006,2,14,1,0,0,0,0.0,0,0
431,2010,36,21,5,5,0,0,0.0,0,0
431,2014,36,20,3,3,0,0,0.0,0,0
432,1998,27,7,7,7,0,0,0.0,2,0
433,1970,11,11,4,3,0,1,0.25,1,0
434,2002,40,7,1,0,0,0,0.0,0,0
435,1978,5,4,3,3,2,1,0.33,0,0
436,1950,5,,1,1,0,0,0.0,0,0
437,2002,34,2,2,2,0,0,0.0,2,0
438,1978,10,21,0,0,0,0,0.0,0,0
439,1962,33,15,1,1,0,0,0.0,0,0
439,1966,33,9,3,3,0,1,0.33,0,0
439,1970,33,19,3,2,0,0,0.0,0,0
440,1994,28,21,3,3,0,0,0.0,0,0
440,1998,28,11,1,1,0,0,0.0,0,0
441,1982,41,7,3,3,0,2,0.67,0,0
441,1986,41,7,2,2,0,0,0.0,0,0
442,2006,70,19,1,1,0,0,0.0,0,0
443,2010,31,2,3,3,0,0,0.0,0,0
443,2014,31,2,2,2,0,0,0.0,0,0
444,1930,37,,1,1,0,0,0.0,0,0
445,1970,6,22,2,1,0,0,0.0,0,0
