cid,cup_year,standing,stage,points,win,draw,loss,goals_scored,goals_against
21,2006,10,Round of 16,8,2,2,0,4,0
21,2010,19,1st Round Groups,4,1,1,1,1,1
21,2014,11,Round of 16,6,2,0,2,7,7
70,2006,30,1st Round Groups,0,0,0,3,1,6
67,2006,27,1st Round Groups,1,0,1,2,0,4
52,1978,9,1st Round Groups,3,1,1,1,3,2
52,1998,26,1st Round Groups,1,0,1,2,1,4
52,2002,29,1st Round Groups,1,0,1,2,1,5
52,2006,24,1st Round Groups,1,0,1,2,3,6
34,1954,11,1st Round Groups,2,1,0,2,10,11
34,2002,3,3rd Place Game,13,4,1,2,10,6
51,2006,8,Quarter Finals,7,2,1,2,5,7
73,1990,24,1st Round Groups,0,0,0,3,2,11
9,1930,1,Final Game,8,4,0,0,15,3
9,1950,1,Final Game,7,3,1,0,15,5
9,1954,4,3rd Place Game,6,3,0,2,16,9
9,1962,13,1st Round Groups,2,1,0,2,4,6
9,1966,7,Quarter Finals,4,1,2,1,2,5
9,1970,4,3rd Place Game,5,2,1,3,4,5
9,1974,13,1st Round Groups,1,0,1,2,1,6
9,1986,16,Round of 16,2,0,2,2,2,8
9,1990,16,Round of 16,3,1,1,2,2,5
9,2002,26,1st Round Groups,2,0,2,1,4,5
9,2010,4,3rd Place Game,11,3,2,2,11,8
9,2014,12,Round of 16,6,2,0,2,4,6
23,1930,3,3rd Place Game,4,2,0,1,7,6
23,1934,16,Round of 16,0,0,0,1,1,7
23,1950,10,1st Round Groups,2,1,0,2,4,8
23,1990,23,1st Round Groups,0,0,0,3,2,8
23,1994,14,Round of 16,4,1,1,2,3,4
23,1998,32,1st Round Groups,0,0,0,3,1,5
23,2002,8,Quarter Finals,7,2,1,2,7,7
23,2006,25,1st Round Groups,1,0,1,2,2,6
23,2010,12,Round of 16,5,1,2,1,5,5
23,2014,15,Round of 16,4,1,1,2,5,6
53,1958,5,Quarter Finals,5,1,3,1,4,4
